sku,name,price,stock
SKU-0001,Forge Anvil 45kg,189.00,12
SKU-0002,Forge Anvil 70kg,274.00,8
SKU-0003,Forge Hammer 1kg,38.50,25
SKU-0004,Forge Hammer 1.5kg,46.00,20
SKU-0005,Tongs Long Reach,29.75,30
SKU-0006,Tongs Flat Jaw,26.90,28
SKU-0007,Bellows Foot Pump,142.00,6
SKU-0008,Quench Tank Steel,89.50,10
SKU-0009,Ash Pan Cast Iron,33.20,18
SKU-0010,Ash Rake Forged,14.00,31
SKU-0011,Coal Shovel Small,19.40,22
SKU-0012,Ember Tray Brass,52.80,15
SKU-0013,Ember Poker Curved,17.60,40
SKU-0014,Fire Tongs Dining,15.90,35
SKU-0015,Fire Guard Mesh,64.00,9
SKU-0016,Fire Brick Pack,41.30,16
SKU-0017,Kindling Splitter,58.70,11
SKU-0018,Log Holder Wrought,96.25,7
SKU-0019,Gloves Leather Pair,24.10,44
SKU-0020,Apron Canvas Heavy,31.60,19
SKU-0021,Helmet Welding A5,44.90,13
SKU-0022,Goggles Clear Glass,11.40,26
SKU-0023,Chisel Cold 20mm,23.55,21
SKU-0024,Punch Center 8mm,9.80,33
